MSOA11CD,MSOA11NM,WD20CD,WD20NM,inlondon,ward_area_hectare,green_area_hectare,blue_area_hectare,green+blue_area_hectare,percent_green,percent_blue,percent_green+blue
E02000047,Barnet 024,E05000044,Burnt Oak,TRUE,206.719,89.20242391,1.532714551,90.73513846,43.1515361,0.741448319,43.89298442
E02000044,Barnet 021,E05000044,Burnt Oak,TRUE,206.719,89.20242391,1.532714551,90.73513846,43.1515361,0.741448319,43.89298442
E02000064,Barnet 041,E05000045,Childs Hill,TRUE,309.301,136.7611375,0.471988349,137.2331259,44.21619637,0.152598391,44.36879476
E02000063,Barnet 040,E05000045,Childs Hill,TRUE,309.301,136.7611375,0.471988349,137.2331259,44.21619637,0.152598391,44.36879476
E02000061,Barnet 038,E05000045,Childs Hill,TRUE,309.301,136.7611375,0.471988349,137.2331259,44.21619637,0.152598391,44.36879476
E02000053,Barnet 030,E05000046,Colindale,TRUE,263.627,84.45397924,2.172647014,86.62662626,32.0354058,0.824136759,32.85954256
E02000049,Barnet 026,E05000046,Colindale,TRUE,263.627,84.45397924,2.172647014,86.62662626,32.0354058,0.824136759,32.85954256
E02000045,Barnet 022,E05000047,Coppetts,TRUE,272.058,128.0280981,0.361457825,128.3895559,47.05911903,0.132860576,47.19197961
E02000038,Barnet 015,E05000047,Coppetts,TRUE,272.058,128.0280981,0.361457825,128.3895559,47.05911903,0.132860576,47.19197961
E02000026,Barnet 003,E05000048,East Barnet,TRUE,374.943,194.5838924,2.323111544,196.9070039,51.89692631,0.619590589,52.51651689
E02000029,Barnet 006,E05000048,East Barnet,TRUE,374.943,194.5838924,2.323111544,196.9070039,51.89692631,0.619590589,52.51651689
E02000052,Barnet 029,E05000049,East Finchley,TRUE,250.989,140.0349033,0.085085002,140.1199883,55.79324326,0.033899893,55.82714315
E02000041,Barnet 018,E05000050,Edgware,TRUE,555.652,355.2275867,1.507015545,356.7346022,63.92986738,0.271215715,64.20108309
E02000037,Barnet 014,E05000050,Edgware,TRUE,555.652,355.2275867,1.507015545,356.7346022,63.92986738,0.271215715,64.20108309
E02000051,Barnet 028,E05000051,Finchley Church End,TRUE,272.564,123.4269132,1.559980711,124.9868939,45.28364464,0.572335566,45.85598021
E02000056,Barnet 033,E05000052,Garden Suburb,TRUE,472.705,301.4010653,1.711911481,303.1129768,63.76092178,0.362152184,64.12307397
E02000058,Barnet 035,E05000052,Garden Suburb,TRUE,472.705,301.4010653,1.711911481,303.1129768,63.76092178,0.362152184,64.12307397
E02000256,Ealing 019,E05000173,Ealing Broadway,TRUE,185.676,72.26471557,0.218794476,72.48351005,38.91979339,0.117836703,39.03763009
E02000178,Camden 013,E05000145,West Hampstead,TRUE,88.729,24.11386575,0,24.11386575,27.17698357,0,27.17698357
