MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,RGN11CD,RGN11NM,USUALRES,HHOLDRES,COMESTRES,POPDEN,HHOLDS,AVHHOLDSZ,x,y
E02000217,Croydon 024,E09000008,Croydon,E12000007,London,9688,9688,0,67.7,4273,2.3,531600.610,165406.781
E02000218,Croydon 025,E09000008,Croydon,E12000007,London,6640,6640,0,58.3,2369,2.8,537189.130,165416.685
E02000219,Croydon 026,E09000008,Croydon,E12000007,London,7686,7650,36,13.5,2999,2.6,536050.292,164717.871
E02000220,Croydon 027,E09000008,Croydon,E12000007,London,9881,9509,372,66.1,4847,2,532633.024,165008.564
E02000221,Croydon 028,E09000008,Croydon,E12000007,London,9820,9630,190,35,3866,2.5,531517.844,163893.839
E02000222,Croydon 029,E09000008,Croydon,E12000007,London,7891,7806,85,42.4,3539,2.2,533355.439,163849.180
E02000223,Croydon 030,E09000008,Croydon,E12000007,London,8371,8371,0,87.1,2875,2.9,537939.188,163527.381
E02000224,Croydon 031,E09000008,Croydon,E12000007,London,7684,7646,38,60,3309,2.3,532457.871,162826.316
E02000225,Croydon 032,E09000008,Croydon,E12000007,London,7535,7534,1,46.2,2708,2.8,538444.914,162846.114
E02000226,Croydon 033,E09000008,Croydon,E12000007,London,7539,7350,189,23,2796,2.6,534727.797,163050.354
E02000227,Croydon 034,E09000008,Croydon,E12000007,London,11411,11411,0,24.8,4851,2.4,536837.157,162597.567
E02000228,Croydon 035,E09000008,Croydon,E12000007,London,7609,7539,70,24.3,2924,2.6,533510.401,161892.419
E02000229,Croydon 036,E09000008,Croydon,E12000007,London,6374,6315,59,48.3,2413,2.6,538929.925,161702.702
E02000230,Croydon 037,E09000008,Croydon,E12000007,London,10045,9745,300,38.4,4004,2.4,531591.730,161727.940
E02000231,Croydon 038,E09000008,Croydon,E12000007,London,7685,7441,244,22.9,2543,2.9,530011.768,161128.026
E02000232,Croydon 039,E09000008,Croydon,E12000007,London,6207,6178,29,14.2,2324,2.7,535028.059,160753.186
E02000233,Croydon 040,E09000008,Croydon,E12000007,London,6135,5977,158,38.7,2391,2.5,531908.233,160010.450
E02000234,Croydon 041,E09000008,Croydon,E12000007,London,8023,7980,43,25.8,3161,2.5,530621.100,159645.296
E02000235,Croydon 042,E09000008,Croydon,E12000007,London,6968,6900,68,12.9,2694,2.6,532901.027,159360.424
